"sample_name","acc","tax_id","name","total_count"
"AAQ_110","SRR24705204","2157","Archaea","126"
"AAQ_115","SRR24705193","2","Bacteria","5627093"
"AAQ_115","SRR24705193","10239","Viruses","108466"
"AAQ_115","SRR24705193","2759","Eukaryota","8313"
"AAQ_115","SRR24705193","2157","Archaea","324"
"AAQ_116","SRR24705437","2","Bacteria","3943404"
"AAQ_116","SRR24705437","10239","Viruses","73877"
"AAQ_116","SRR24705437","2759","Eukaryota","4515"
"AAQ_116","SRR24705437","2157","Archaea","105"
"AAQ_126","SRR24705426","2","Bacteria","6940325"
"AAQ_126","SRR24705426","10239","Viruses","189258"
"AAQ_126","SRR24705426","2759","Eukaryota","5657"
"AAQ_126","SRR24705426","2157","Archaea","146"
"AAQ_83","SRR24705273","2","Bacteria","4546175"
"AAQ_83","SRR24705273","10239","Viruses","147678"
"AAQ_83","SRR24705273","2759","Eukaryota","1759"
"AAQ_83","SRR24705273","2157","Archaea","473"
"AAQ_98","SRR24705262","2","Bacteria","4843054"
"AAQ_98","SRR24705262","10239","Viruses","128019"
"AAQ_98","SRR24705262","2759","Eukaryota","5750"
"AAQ_98","SRR24705262","2157","Archaea","521"
"AAQ_99","SRR24705251","2","Bacteria","6852352"
"AAQ_99","SRR24705251","10239","Viruses","152265"
"AAQ_99","SRR24705251","2759","Eukaryota","11392"
"AAQ_99","SRR24705251","2157","Archaea","433"
"BAA_11","SRR24705415","2","Bacteria","14413103"
"BAA_11","SRR24705415","10239","Viruses","111964"
"BAA_11","SRR24705415","2759","Eukaryota","1927"
"BAA_11","SRR24705415","2157","Archaea","186"
"BAA_22","SRR24704940","2","Bacteria","23115256"
"BAA_22","SRR24704940","10239","Viruses","110363"
"BAA_22","SRR24704940","2759","Eukaryota","1190"
"BAA_22","SRR24704940","2157","Archaea","178"
"BAA_23","SRR24704929","2","Bacteria","24227331"
"BAA_23","SRR24704929","10239","Viruses","70607"
"BAA_23","SRR24704929","2759","Eukaryota","16111"
"BAA_23","SRR24704929","2157","Archaea","98"
"BAA_24","SRR24704918","2","Bacteria","22571893"
"BAA_24","SRR24704918","10239","Viruses","116093"
"BAA_24","SRR24704918","2759","Eukaryota","3753"
"BAA_24","SRR24704918","2157","Archaea","1043"
"BAA_25","SRR24705179","2","Bacteria","12207684"
"BAA_25","SRR24705179","2759","Eukaryota","76843"
"BAA_25","SRR24705179","10239","Viruses","27418"
"BAA_25","SRR24705179","2157","Archaea","1066"
"BAA_26","SRR24705168","2","Bacteria","12631530"
"BAA_26","SRR24705168","2759","Eukaryota","150524"
"BAA_26","SRR24705168","10239","Viruses","35398"
"BAA_26","SRR24705168","2157","Archaea","554"
"BAA_27","SRR24705157","2","Bacteria","18589249"
"BAA_27","SRR24705157","2759","Eukaryota","120569"
"BAA_27","SRR24705157","10239","Viruses","55939"
"BAA_27","SRR24705157","2157","Archaea","483"
"BAA_28","SRR24705146","2","Bacteria","14736947"
"BAA_28","SRR24705146","10239","Viruses","45073"
"BAA_28","SRR24705146","2759","Eukaryota","4380"
"BAA_28","SRR24705146","2157","Archaea","557"
"BAA_29","SRR24705134","2","Bacteria","9789338"
"BAA_29","SRR24705134","10239","Viruses","24812"
"BAA_29","SRR24705134","2759","Eukaryota","21238"
"BAA_29","SRR24705134","2157","Archaea","497"
"BAA_30","SRR24705123","2","Bacteria","9806652"
"BAA_30","SRR24705123","2759","Eukaryota","98882"
"BAA_30","SRR24705123","10239","Viruses","25478"
"BAA_30","SRR24705123","2157","Archaea","63"
"BAA_31","SRR24705400","2","Bacteria","11350199"
"BAA_31","SRR24705400","10239","Viruses","24283"
"BAA_31","SRR24705400","2759","Eukaryota","5200"
"BAA_31","SRR24705400","2157","Archaea","388"
"BAA_32","SRR24705389","2","Bacteria","18156632"
"BAA_32","SRR24705389","10239","Viruses","53462"
"BAA_32","SRR24705389","2759","Eukaryota","49081"
"BAA_32","SRR24705389","2157","Archaea","101"
"BAA_34","SRR24705378","2","Bacteria","12948060"
"BAA_34","SRR24705378","2759","Eukaryota","35447"
"BAA_34","SRR24705378","10239","Viruses","30505"
"BAA_34","SRR24705378","2157","Archaea","120"
"BAA_37","SRR24704903","2","Bacteria","13524428"
"BAA_37","SRR24704903","10239","Viruses","72458"
"BAA_37","SRR24704903","2759","Eukaryota","771"
"BAA_37","SRR24704903","2157","Archaea","120"
"BAA_38","SRR24704892","2","Bacteria","15397209"
"BAA_38","SRR24704892","10239","Viruses","16146"
"BAA_38","SRR24704892","2759","Eukaryota","1608"
"BAA_38","SRR24704892","2157","Archaea","215"
"BAA_41","SRR24704881","2","Bacteria","10343424"
"BAA_41","SRR24704881","10239","Viruses","69347"
"BAA_41","SRR24704881","2759","Eukaryota","34016"
"BAA_41","SRR24704881","2157","Archaea","365"
"BAB_21","SRR24705579","2","Bacteria","8933211"
"BAB_21","SRR24705579","10239","Viruses","126766"
"BAB_21","SRR24705579","2759","Eukaryota","1263"
"BAB_21","SRR24705579","2157","Archaea","722"
"BAB_22","SRR24705567","2","Bacteria","21749084"
"BAB_22","SRR24705567","10239","Viruses","293541"
"BAB_22","SRR24705567","2759","Eukaryota","37630"
"BAB_22","SRR24705567","2157","Archaea","592"
"BAB_23","SRR24705556","2","Bacteria","20667418"
"BAB_23","SRR24705556","10239","Viruses","410533"
"BAB_23","SRR24705556","2759","Eukaryota","53149"
"BAB_23","SRR24705556","2157","Archaea","738"
"BAB_24","SRR24705545","2","Bacteria","23489847"
"BAB_24","SRR24705545","10239","Viruses","399153"
"BAB_24","SRR24705545","2759","Eukaryota","29424"
"BAB_24","SRR24705545","2157","Archaea","1008"
"BAB_25","SRR24705534","2","Bacteria","19107881"
"BAB_25","SRR24705534","10239","Viruses","468102"
"BAB_25","SRR24705534","2759","Eukaryota","14089"
"BAB_25","SRR24705534","2157","Archaea","419"
"BAB_26","SRR24705363","2","Bacteria","22957137"
"BAB_26","SRR24705363","10239","Viruses","115844"
"BAB_26","SRR24705363","2759","Eukaryota","112266"
"BAB_26","SRR24705363","2157","Archaea","1051"
"BAB_28","SRR24705352","2","Bacteria","14305651"
"BAB_28","SRR24705352","10239","Viruses","559690"
"BAB_28","SRR24705352","2759","Eukaryota","26878"
"BAB_28","SRR24705352","2157","Archaea","116"
"BAB_29","SRR24705117","2","Bacteria","16588809"
"BAB_29","SRR24705117","10239","Viruses","510368"
"BAB_29","SRR24705117","2759","Eukaryota","60524"
"BAB_29","SRR24705117","2157","Archaea","551"
"BAB_30","SRR24705106","2","Bacteria","12804945"
"BAB_30","SRR24705106","10239","Viruses","741091"
"BAB_30","SRR24705106","2759","Eukaryota","1913"
"BAB_30","SRR24705106","2157","Archaea","367"
"BAB_31","SRR24705095","2","Bacteria","23046753"
"BAB_31","SRR24705095","10239","Viruses","553603"
"BAB_31","SRR24705095","2759","Eukaryota","1761"
"BAB_31","SRR24705095","2157","Archaea","836"
"BAB_33","SRR24705004","2","Bacteria","16785325"
"BAB_33","SRR24705004","10239","Viruses","294624"
"BAB_33","SRR24705004","2759","Eukaryota","12079"
"BAB_33","SRR24705004","2157","Archaea","424"
"BAB_34","SRR24704992","2","Bacteria","32702397"
"BAB_34","SRR24704992","10239","Viruses","453530"
"BAB_34","SRR24704992","2759","Eukaryota","143383"
"BAB_34","SRR24704992","2157","Archaea","389"
"BAB_37","SRR24704981","2","Bacteria","22333879"
"BAB_37","SRR24704981","10239","Viruses","181615"
"BAB_37","SRR24704981","2759","Eukaryota","13260"
"BAB_37","SRR24704981","2157","Archaea","298"
"BAB_39","SRR24704874","2","Bacteria","28820707"
"BAB_39","SRR24704874","10239","Viruses","290632"
"BAB_39","SRR24704874","2759","Eukaryota","25645"
"BAB_39","SRR24704874","2157","Archaea","1251"
"BAB_46","SRR24704863","2","Bacteria","11670817"
"BAB_46","SRR24704863","10239","Viruses","138233"
"BAB_46","SRR24704863","2759","Eukaryota","480"
"BAB_46","SRR24704863","2157","Archaea","436"
"BAB_8","SRR24705590","2","Bacteria","20666192"
"BAB_8","SRR24705590","10239","Viruses","239770"
"BAB_8","SRR24705590","2759","Eukaryota","11115"
"BAB_8","SRR24705590","2157","Archaea","468"
"BAC_11","SRR24704852","2","Bacteria","11601389"
"BAC_11","SRR24704852","10239","Viruses","283693"
"BAC_11","SRR24704852","2759","Eukaryota","1658"
"BAC_11","SRR24704852","2157","Archaea","684"
"BAC_24","SRR24705081","2","Bacteria","13632849"
"BAC_24","SRR24705081","10239","Viruses","203704"
"BAC_24","SRR24705081","2759","Eukaryota","21605"
"BAC_24","SRR24705081","2157","Archaea","190"
"BAC_26","SRR24705070","2","Bacteria","13349204"
"BAC_26","SRR24705070","10239","Viruses","237085"
"BAC_26","SRR24705070","2759","Eukaryota","1677"
"BAC_26","SRR24705070","2157","Archaea","729"
"BAC_27","SRR24705059","2","Bacteria","13575948"
"BAC_27","SRR24705059","10239","Viruses","205352"
"BAC_27","SRR24705059","2759","Eukaryota","1519"
"BAC_27","SRR24705059","2157","Archaea","576"
"BAC_29","SRR24704840","2","Bacteria","28630377"
"BAC_29","SRR24704840","10239","Viruses","449580"
"BAC_29","SRR24704840","2157","Archaea","1406"
"BAC_29","SRR24704840","2759","Eukaryota","1118"
"BAC_30","SRR24704829","2","Bacteria","13133176"
"BAC_30","SRR24704829","10239","Viruses","96666"
"BAC_30","SRR24704829","2759","Eukaryota","11465"
"BAC_30","SRR24704829","2157","Archaea","385"
"BAC_31","SRR24704817","2","Bacteria","8824455"
"BAC_31","SRR24704817","10239","Viruses","49744"
"BAC_31","SRR24704817","2759","Eukaryota","19859"
"BAC_31","SRR24704817","2157","Archaea","62"
"BAC_32","SRR24704806","2","Bacteria","8199276"
"BAC_32","SRR24704806","10239","Viruses","168976"
"BAC_32","SRR24704806","2759","Eukaryota","6501"
"BAC_32","SRR24704806","2157","Archaea","95"
"BAC_33","SRR24704795","2","Bacteria","10783349"
"BAC_33","SRR24704795","10239","Viruses","280103"
"BAC_33","SRR24704795","2759","Eukaryota","5302"
"BAC_33","SRR24704795","2157","Archaea","848"
"BAC_34","SRR24704784","2","Bacteria","24591446"
"BAC_34","SRR24704784","2759","Eukaryota","956628"
"BAC_34","SRR24704784","10239","Viruses","673481"
"BAC_34","SRR24704784","2157","Archaea","863"
"BAC_35","SRR24705045","2","Bacteria","13217319"
"BAC_35","SRR24705045","10239","Viruses","459221"
"BAC_35","SRR24705045","2759","Eukaryota","1434"
"BAC_35","SRR24705045","2157","Archaea","528"
"BAC_36","SRR24705034","2","Bacteria","19891826"
"BAC_36","SRR24705034","10239","Viruses","1200261"
"BAC_36","SRR24705034","2759","Eukaryota","1824"
"BAC_36","SRR24705034","2157","Archaea","317"
"BAC_40","SRR24705023","2","Bacteria","16459209"
"BAC_40","SRR24705023","10239","Viruses","224507"
"BAC_40","SRR24705023","2759","Eukaryota","1438"
"BAC_40","SRR24705023","2157","Archaea","516"
"BAC_43","SRR24705524","2","Bacteria","42981832"
"BAC_43","SRR24705524","10239","Viruses","518824"
"BAC_43","SRR24705524","2759","Eukaryota","4612"
"BAC_43","SRR24705524","2157","Archaea","1013"
"BAC_48","SRR24705513","2","Bacteria","13486275"
"BAC_48","SRR24705513","10239","Viruses","133938"
"BAC_48","SRR24705513","2759","Eukaryota","3497"
"BAC_48","SRR24705513","2157","Archaea","215"
"BAC_55","SRR24705502","2","Bacteria","12791759"
"BAC_55","SRR24705502","10239","Viruses","129710"
"BAC_55","SRR24705502","2759","Eukaryota","3019"
"BAC_55","SRR24705502","2157","Archaea","679"
"BAD_20","SRR24704951","2","Bacteria","17066162"
"BAD_20","SRR24704951","10239","Viruses","310821"
"BAD_20","SRR24704951","2759","Eukaryota","1266"
"BAD_20","SRR24704951","2157","Archaea","845"
"BAD_22","SRR24704780","2","Bacteria","14942789"
"BAD_22","SRR24704780","10239","Viruses","280107"
"BAD_22","SRR24704780","2759","Eukaryota","2273"
"BAD_22","SRR24704780","2157","Archaea","438"
"BAD_23","SRR24704769","2","Bacteria","15980683"
"BAD_23","SRR24704769","10239","Viruses","295686"
"BAD_23","SRR24704769","2759","Eukaryota","1520"
"BAD_23","SRR24704769","2157","Archaea","567"
"BAD_24","SRR24704758","2","Bacteria","14342884"
"BAD_24","SRR24704758","10239","Viruses","309676"
"BAD_24","SRR24704758","2759","Eukaryota","1209"
"BAD_24","SRR24704758","2157","Archaea","901"
"BAD_25","SRR24704747","2","Bacteria","10707976"
"BAD_25","SRR24704747","10239","Viruses","223187"
"BAD_25","SRR24704747","2157","Archaea","1473"
"BAD_25","SRR24704747","2759","Eukaryota","780"
"BAD_26","SRR24704736","2","Bacteria","9400123"
"BAD_26","SRR24704736","10239","Viruses","78661"
"BAD_26","SRR24704736","2759","Eukaryota","1313"
"BAD_26","SRR24704736","2157","Archaea","98"
"BAD_27","SRR24704725","2","Bacteria","6039743"
"BAD_27","SRR24704725","10239","Viruses","32275"
"BAD_27","SRR24704725","2759","Eukaryota","1468"
"BAD_27","SRR24704725","2157","Archaea","357"
"BAD_28","SRR24705018","2","Bacteria","17459103"
"BAD_28","SRR24705018","10239","Viruses","91384"
"BAD_28","SRR24705018","2759","Eukaryota","6438"
"BAD_28","SRR24705018","2157","Archaea","742"
"BAD_29","SRR24705007","2","Bacteria","15990156"
"BAD_29","SRR24705007","10239","Viruses","100084"
"BAD_29","SRR24705007","2759","Eukaryota","2094"
"BAD_29","SRR24705007","2157","Archaea","379"
"BAD_30","SRR24705667","2","Bacteria","9306104"
"BAD_30","SRR24705667","10239","Viruses","83826"
"BAD_30","SRR24705667","2759","Eukaryota","412"
"BAD_30","SRR24705667","2157","Archaea","327"
"BAD_31","SRR24705496","2","Bacteria","13282652"
"BAD_31","SRR24705496","10239","Viruses","186833"
"BAD_31","SRR24705496","2759","Eukaryota","1067"
"BAD_31","SRR24705496","2157","Archaea","310"
"BAD_33","SRR24705485","2","Bacteria","11591846"
"BAD_33","SRR24705485","10239","Viruses","148061"
"BAD_33","SRR24705485","2157","Archaea","613"
"BAD_33","SRR24705485","2759","Eukaryota","371"
"BAD_37","SRR24705474","2","Bacteria","10796150"
"BAD_37","SRR24705474","10239","Viruses","206447"
"BAD_37","SRR24705474","2759","Eukaryota","708"
"BAD_37","SRR24705474","2157","Archaea","506"
"BAD_39","SRR24705655","2","Bacteria","18157400"
"BAD_39","SRR24705655","10239","Viruses","450931"
"BAD_39","SRR24705655","2759","Eukaryota","1202"
"BAD_39","SRR24705655","2157","Archaea","509"
"BAD_46","SRR24705644","2","Bacteria","12190772"
"BAD_46","SRR24705644","10239","Viruses","287746"
"BAD_46","SRR24705644","2759","Eukaryota","603"
"BAD_46","SRR24705644","2157","Archaea","373"
"BAD_9","SRR24704962","2","Bacteria","13449902"
"BAD_9","SRR24704962","10239","Viruses","280843"
"BAD_9","SRR24704962","2759","Eukaryota","1695"
"BAD_9","SRR24704962","2157","Archaea","1416"
"BAE_19","SRR24705632","2","Bacteria","15233300"
"BAE_19","SRR24705632","10239","Viruses","227160"
"BAE_19","SRR24705632","2759","Eukaryota","690"
"BAE_19","SRR24705632","2157","Archaea","349"
"BAE_20","SRR24705631","2","Bacteria","15937669"
"BAE_20","SRR24705631","10239","Viruses","505591"
"BAE_20","SRR24705631","2759","Eukaryota","2618"
"BAE_20","SRR24705631","2157","Archaea","327"
"BAE_21","SRR24705630","2","Bacteria","17604792"
"BAE_21","SRR24705630","10239","Viruses","377869"
"BAE_21","SRR24705630","2759","Eukaryota","716"
"BAE_21","SRR24705630","2157","Archaea","329"
"BAE_22","SRR24705338","2","Bacteria","21991761"
"BAE_22","SRR24705338","2759","Eukaryota","52486"
"BAE_22","SRR24705338","10239","Viruses","29994"
"BAE_22","SRR24705338","2157","Archaea","552"
"BAE_23","SRR24705337","2","Bacteria","21516698"
"BAE_23","SRR24705337","10239","Viruses","142016"
"BAE_23","SRR24705337","2759","Eukaryota","1197"
"BAE_23","SRR24705337","2157","Archaea","191"
"BAE_24","SRR24705336","2","Bacteria","21412750"
"BAE_24","SRR24705336","10239","Viruses","100955"
"BAE_24","SRR24705336","2759","Eukaryota","7909"
"BAE_24","SRR24705336","2157","Archaea","87"
"BAE_25","SRR24705335","2","Bacteria","16942397"
"BAE_25","SRR24705335","10239","Viruses","51880"
