"acc","sample_name","num_virus_species"
"SRR24705244","BAJ_31","83"
"SRR24705243","BAJ_32","96"
"SRR24705242","BAJ_34","100"
"SRR24705241","BAJ_38","187"
"SRR24705239","BAJ_39","107"
"SRR24705238","BAJ_46","114"
"SRR24705255","BAJ_9","92"
"SRR24705236","BAK_19","146"
"SRR24705235","BAK_20","104"
"SRR24705234","BAK_22","166"
"SRR24705233","BAK_23","193"
"SRR24705232","BAK_24","212"
"SRR24705231","BAK_25","101"
"SRR24705230","BAK_26","106"
"SRR24705227","BAK_27","96"
"SRR24705226","BAK_28","86"
"SRR24705225","BAK_29","106"
"SRR24705224","BAK_30","87"
"SRR24705223","BAK_32","138"
"SRR24705222","BAK_36","145"
"SRR24705221","BAK_38","150"
"SRR24705220","BAK_44","141"
"SRR24705237","BAK_8","174"
"SRR24705218","BAL_21","233"
"SRR24705216","BAL_22","228"
"SRR24705215","BAL_23","231"
"SRR24705214","BAL_24","231"
"SRR24705629","BAL_25","155"
"SRR24705628","BAL_26","134"
"SRR24705627","BAL_27","70"
"SRR24705626","BAL_28","66"
"SRR24705625","BAL_29","106"
"SRR24705624","BAL_30","86"
"SRR24705623","BAL_32","167"
"SRR24705621","BAL_34","186"
"SRR24705620","BAL_37","175"
"SRR24705619","BAL_38","140"
"SRR24705618","BAL_48","161"
"SRR24705219","BAL_9","191"
"SRR24705617","BAM_10","195"
"SRR24705616","BAM_20","147"
"SRR24705615","BAM_21","186"
"SRR24705614","BAM_22","188"
"SRR24705613","BAM_23","195"
"SRR24705612","BAM_24","151"
"SRR24705610","BAM_25","197"
"SRR24705609","BAM_26","180"
"SRR24705608","BAM_27","180"
"SRR24705607","BAM_29","150"
"SRR24705606","BAM_31","148"
"SRR24705605","BAM_32","169"
"SRR24705604","BAM_33","186"
"SRR24705603","BAM_38","207"
"SRR24705602","BAM_40","164"
"SRR24705601","BAM_47","195"
"SRR24705598","BAN_19","182"
"SRR24705469","BAN_20","161"
"SRR24705468","BAN_21","139"
"SRR24705467","BAN_22","134"
"SRR24705466","BAN_23","169"
"SRR24705465","BAN_24","49"
"SRR24705464","BAN_25","63"
"SRR24705463","BAN_26","72"
"SRR24705462","BAN_28","99"
"SRR24705460","BAN_29","71"
"SRR24705459","BAN_30","77"
"SRR24705458","BAN_32","150"
"SRR24705457","BAN_37","166"
"SRR24705456","BAN_39","199"
"SRR24705455","BAN_45","171"
"SRR24705599","BAN_9","153"
"SRR24705453","BAP_21","124"
"SRR24705452","BAP_22","121"
"SRR24705451","BAP_23","120"
"SRR24705449","BAP_24","97"
"SRR24705448","BAP_25","59"
"SRR24705447","BAP_26","29"
"SRR24705446","BAP_27","53"
"SRR24705445","BAP_28","35"
"SRR24705444","BAP_29","70"
"SRR24705443","BAP_30","50"
"SRR24705442","BAP_31","71"
"SRR24705441","BAP_33","67"
"SRR24705440","BAP_36","98"
"SRR24705438","BAP_38","111"
"SRR24705213","BAP_42","80"
"SRR24705454","BAP_8","79"
"SRR29697129","CAA_15","100"
"SRR29697118","CAA_16","98"
"SRR29697107","CAA_17","99"
"SRR29697096","CAA_18","104"
"SRR29697085","CAA_19","132"
"SRR29697074","CAA_20","99"
"SRR29697063","CAA_21","114"
"SRR29697052","CAA_22","98"
"SRR29697051","CAA_23","90"
"SRR29697128","CAA_24","109"
"SRR29697127","CAA_25","101"
"SRR29697126","CAA_26","94"
"SRR29697125","CAA_27","102"
"SRR29697124","CAA_28","118"
"SRR29697123","CAA_29","99"
"SRR29697130","CAA_5","95"
"SRR29697086","CAC_18","117"
"SRR29697084","CAC_19","115"
"SRR29697083","CAC_20","119"
"SRR29697082","CAC_21","121"
"SRR29697081","CAC_22","132"
"SRR29697080","CAC_23","154"
"SRR29697079","CAC_24","151"
"SRR29697078","CAC_25","135"
"SRR29697077","CAC_26","130"
"SRR29697076","CAC_27","95"
"SRR29697075","CAC_28","94"
"SRR29697073","CAC_29","102"
"SRR29697072","CAC_30","214"
"SRR29697071","CAC_31","191"
"SRR29697070","CAC_37","128"
"SRR29697087","CAC_9","137"
"SRR29697121","CAK_18","129"
"SRR29697120","CAK_19","122"
"SRR29697119","CAK_20","142"
"SRR29697117","CAK_21","138"
"SRR29697116","CAK_22","138"
"SRR29697115","CAK_23","127"
"SRR29697114","CAK_24","130"
"SRR29697113","CAK_25","132"
"SRR29697112","CAK_26","136"
"SRR29697111","CAK_27","139"
"SRR29697110","CAK_28","102"
"SRR29697109","CAK_29","140"
"SRR29697108","CAK_30","121"
"SRR29697106","CAK_31","127"
"SRR29697105","CAK_36","142"
"SRR29697122","CAK_9","119"
"SRR29697103","CAM_18","131"
"SRR29697102","CAM_19","124"
"SRR29697101","CAM_20","103"
"SRR29697100","CAM_21","111"
"SRR29697099","CAM_22","122"
"SRR29697098","CAM_26","133"
"SRR29697097","CAM_27","137"
"SRR29697095","CAM_29","115"
"SRR29697094","CAM_30","129"
"SRR29697093","CAM_31","144"
"SRR29697092","CAM_36","143"
"SRR29697091","CAM_37","126"
"SRR29697090","CAM_38","138"
"SRR29697089","CAM_39","119"
"SRR29697088","CAM_40","102"
"SRR29697104","CAM_8","145"
"SRR29697069","CAN_10","135"
"SRR29697068","CAN_19","99"
"SRR29697067","CAN_20","126"
"SRR29697066","CAN_21","102"
"SRR29697065","CAN_22","92"
"SRR29697064","CAN_23","86"
"SRR29697062","CAN_25","104"
"SRR29697061","CAN_26","110"
"SRR29697060","CAN_27","80"
"SRR29697059","CAN_29","75"
"SRR29697058","CAN_30","83"
"SRR29697057","CAN_31","59"
"SRR29697056","CAN_36","80"
"SRR29697055","CAN_37","94"
"SRR29697054","CAN_38","88"
"SRR29697053","CAN_39","69"
"SRR24705196","DAE_104","88"
"SRR24705212","DAE_62","104"
"SRR24705211","DAE_79","135"
"SRR24705210","DAE_80","95"
"SRR24705209","DAE_81","104"
"SRR24705208","DAE_82","94"
"SRR24705207","DAE_83","102"
"SRR24705206","DAE_84","41"
"SRR24705205","DAE_85","41"
"SRR24705203","DAE_86","54"
"SRR24705202","DAE_87","76"
"SRR24705201","DAE_88","86"
"SRR24705200","DAE_89","78"
"SRR24705199","DAE_91","89"
"SRR24705198","DAE_95","80"
"SRR24705197","DAE_97","88"
"SRR24705195","DAL_72","147"
"SRR24705194","DAL_80","149"
"SRR24705192","DAL_81","129"
"SRR24705191","DAL_82","121"
"SRR24705190","DAL_83","118"
"SRR24705189","DAL_84","152"
"SRR24705188","DAL_85","162"
"SRR24705187","DAL_86","91"
"SRR24705186","DAL_87","100"
"SRR24705185","DAL_89","110"
"SRR24705184","DAL_90","148"
"SRR24705183","DAL_91","146"
