"acc","sample_name","name","pct"
"SRR24705117","BAB_29","Viruses","2.97"
"SRR24705117","BAB_29","cellular organisms","97.03"
"SRR24705106","BAB_30","Viruses","5.46"
"SRR24705106","BAB_30","cellular organisms","94.54"
"SRR24705095","BAB_31","Viruses","2.34"
"SRR24705095","BAB_31","cellular organisms","97.66"
"SRR24705004","BAB_33","Viruses","1.72"
"SRR24705004","BAB_33","cellular organisms","98.28"
"SRR24704992","BAB_34","Viruses","1.36"
"SRR24704992","BAB_34","cellular organisms","98.64"
"SRR24704981","BAB_37","Viruses","0.8"
"SRR24704981","BAB_37","cellular organisms","99.2"
"SRR24704874","BAB_39","Viruses","0.99"
"SRR24704874","BAB_39","cellular organisms","99.01"
"SRR24704863","BAB_46","Viruses","1.17"
"SRR24704863","BAB_46","cellular organisms","98.83"
"SRR24705590","BAB_8","Viruses","1.14"
"SRR24705590","BAB_8","cellular organisms","98.86"
"SRR24704852","BAC_11","Viruses","2.38"
"SRR24704852","BAC_11","cellular organisms","97.62"
"SRR24705081","BAC_24","Viruses","1.47"
"SRR24705081","BAC_24","cellular organisms","98.53"
"SRR24705070","BAC_26","Viruses","1.74"
"SRR24705070","BAC_26","cellular organisms","98.26"
"SRR24705059","BAC_27","Viruses","1.49"
"SRR24705059","BAC_27","cellular organisms","98.51"
"SRR24704840","BAC_29","Viruses","1.54"
"SRR24704840","BAC_29","cellular organisms","98.46"
"SRR24704829","BAC_30","Viruses","0.73"
"SRR24704829","BAC_30","cellular organisms","99.27"
"SRR24704817","BAC_31","Viruses","0.56"
"SRR24704817","BAC_31","cellular organisms","99.44"
"SRR24704806","BAC_32","Viruses","2.01"
"SRR24704806","BAC_32","cellular organisms","97.99"
"SRR24704795","BAC_33","Viruses","2.52"
"SRR24704795","BAC_33","cellular organisms","97.48"
"SRR24704784","BAC_34","Viruses","2.56"
"SRR24704784","BAC_34","cellular organisms","97.44"
"SRR24705045","BAC_35","Viruses","3.35"
"SRR24705045","BAC_35","cellular organisms","96.65"
"SRR24705034","BAC_36","Viruses","5.68"
"SRR24705034","BAC_36","cellular organisms","94.32"
"SRR24705023","BAC_40","Viruses","1.34"
"SRR24705023","BAC_40","cellular organisms","98.66"
"SRR24705524","BAC_43","Viruses","1.19"
"SRR24705524","BAC_43","cellular organisms","98.81"
"SRR24705513","BAC_48","Viruses","0.98"
"SRR24705513","BAC_48","cellular organisms","99.02"
"SRR24705502","BAC_55","Viruses","1.0"
"SRR24705502","BAC_55","cellular organisms","99.0"
"SRR24704951","BAD_20","Viruses","1.78"
"SRR24704951","BAD_20","cellular organisms","98.22"
"SRR24704780","BAD_22","Viruses","1.84"
"SRR24704780","BAD_22","cellular organisms","98.16"
"SRR24704769","BAD_23","Viruses","1.81"
"SRR24704769","BAD_23","cellular organisms","98.19"
"SRR24704758","BAD_24","Viruses","2.11"
"SRR24704758","BAD_24","cellular organisms","97.89"
"SRR24704747","BAD_25","Viruses","2.03"
"SRR24704747","BAD_25","cellular organisms","97.97"
"SRR24704736","BAD_26","Viruses","0.83"
"SRR24704736","BAD_26","cellular organisms","99.17"
"SRR24704725","BAD_27","Viruses","0.53"
"SRR24704725","BAD_27","cellular organisms","99.47"
"SRR24705018","BAD_28","Viruses","0.52"
"SRR24705018","BAD_28","cellular organisms","99.48"
"SRR24705007","BAD_29","Viruses","0.62"
"SRR24705007","BAD_29","cellular organisms","99.38"
"SRR24705667","BAD_30","Viruses","0.89"
"SRR24705667","BAD_30","cellular organisms","99.11"
"SRR24705496","BAD_31","Viruses","1.38"
"SRR24705496","BAD_31","cellular organisms","98.62"
"SRR24705485","BAD_33","Viruses","1.26"
"SRR24705485","BAD_33","cellular organisms","98.74"
"SRR24705474","BAD_37","Viruses","1.87"
"SRR24705474","BAD_37","cellular organisms","98.13"
"SRR24705655","BAD_39","Viruses","2.42"
"SRR24705655","BAD_39","cellular organisms","97.58"
"SRR24705644","BAD_46","Viruses","2.3"
"SRR24705644","BAD_46","cellular organisms","97.7"
"SRR24704962","BAD_9","Viruses","2.04"
"SRR24704962","BAD_9","cellular organisms","97.96"
"SRR24705632","BAE_19","Viruses","1.47"
"SRR24705632","BAE_19","cellular organisms","98.53"
"SRR24705631","BAE_20","Viruses","3.07"
"SRR24705631","BAE_20","cellular organisms","96.93"
"SRR24705630","BAE_21","Viruses","2.1"
"SRR24705630","BAE_21","cellular organisms","97.9"
"SRR24705338","BAE_22","Viruses","0.14"
"SRR24705338","BAE_22","cellular organisms","99.86"
"SRR24705337","BAE_23","Viruses","0.65"
"SRR24705337","BAE_23","cellular organisms","99.35"
"SRR24705336","BAE_24","Viruses","0.47"
"SRR24705336","BAE_24","cellular organisms","99.53"
"SRR24705335","BAE_25","Viruses","0.3"
"SRR24705335","BAE_25","cellular organisms","99.7"
"SRR24705334","BAE_26","Viruses","0.24"
"SRR24705334","BAE_26","cellular organisms","99.76"
"SRR24705333","BAE_27","Viruses","0.65"
"SRR24705333","BAE_27","cellular organisms","99.35"
"SRR24705332","BAE_28","Viruses","5.21"
"SRR24705332","BAE_28","cellular organisms","94.79"
"SRR24705331","BAE_29","Viruses","3.8"
"SRR24705331","BAE_29","cellular organisms","96.2"
"SRR24705330","BAE_31","Viruses","4.21"
"SRR24705330","BAE_31","cellular organisms","95.79"
"SRR24705329","BAE_35","Viruses","1.09"
"SRR24705329","BAE_35","cellular organisms","98.91"
"SRR24705327","BAE_37","Viruses","1.01"
"SRR24705327","BAE_37","cellular organisms","98.99"
"SRR24705326","BAE_44","Viruses","0.64"
"SRR24705326","BAE_44","cellular organisms","99.36"
"SRR24705633","BAE_6","Viruses","0.83"
"SRR24705633","BAE_6","cellular organisms","99.17"
"SRR24705324","BAF_21","Viruses","2.11"
"SRR29697443","BAF_21","cellular organisms","100.0"
"SRR24705323","BAF_22","Viruses","3.13"
"SRR24705323","BAF_22","cellular organisms","96.87"
"SRR24705322","BAF_23","Viruses","3.38"
"SRR24705322","BAF_23","cellular organisms","96.62"
"SRR24705321","BAF_24","Viruses","1.39"
"SRR24705321","BAF_24","cellular organisms","98.61"
"SRR24705320","BAF_25","Viruses","2.95"
"SRR29697578","BAF_25","cellular organisms","100.0"
"SRR24705319","BAF_26","Viruses","1.59"
"SRR24705319","BAF_26","cellular organisms","98.41"
"SRR24705318","BAF_27","Viruses","0.91"
"SRR24705318","BAF_27","cellular organisms","99.09"
"SRR24705316","BAF_28","Viruses","0.97"
"SRR24705316","BAF_28","cellular organisms","99.03"
"SRR24705315","BAF_29","Viruses","1.9"
"SRR24705315","BAF_29","cellular organisms","98.1"
"SRR24705314","BAF_30","Viruses","1.21"
"SRR24705314","BAF_30","cellular organisms","98.79"
"SRR24705313","BAF_31","Viruses","1.86"
"SRR24705313","BAF_31","cellular organisms","98.14"
"SRR24705312","BAF_33","Viruses","2.88"
"SRR29697587","BAF_33","cellular organisms","100.0"
"SRR24705311","BAF_38","Viruses","5.88"
"SRR24705311","BAF_38","cellular organisms","94.12"
"SRR24705310","BAF_40","Viruses","3.19"
"SRR24705310","BAF_40","cellular organisms","96.81"
"SRR24705309","BAF_46","Viruses","3.54"
"SRR29697410","BAF_46","cellular organisms","100.0"
"SRR24705325","BAF_8","Viruses","2.16"
"SRR24705325","BAF_8","cellular organisms","97.84"
"SRR24705307","BAG_21","Viruses","1.18"
"SRR24705307","BAG_21","cellular organisms","98.82"
"SRR24705305","BAG_22","Viruses","1.66"
"SRR24705305","BAG_22","cellular organisms","98.34"
"SRR24705304","BAG_23","Viruses","1.97"
"SRR24705304","BAG_23","cellular organisms","98.03"
"SRR24705303","BAG_24","Viruses","1.57"
"SRR24705303","BAG_24","cellular organisms","98.43"
"SRR24705302","BAG_25","Viruses","1.91"
"SRR24705302","BAG_25","cellular organisms","98.09"
"SRR24705301","BAG_26","Viruses","1.12"
"SRR24705301","BAG_26","cellular organisms","98.88"
"SRR24705300","BAG_27","Viruses","0.72"
"SRR24705300","BAG_27","cellular organisms","99.28"
"SRR24705299","BAG_28","Viruses","0.72"
"SRR24705299","BAG_28","cellular organisms","99.28"
"SRR24705298","BAG_29","Viruses","1.1"
"SRR24705298","BAG_29","cellular organisms","98.9"
"SRR24705297","BAG_30","Viruses","1.28"
"SRR24705297","BAG_30","cellular organisms","98.72"
"SRR24705296","BAG_31","Viruses","1.5"
"SRR24705296","BAG_31","cellular organisms","98.5"
"SRR24705294","BAG_33","Viruses","0.95"
"SRR24705294","BAG_33","cellular organisms","99.05"
"SRR24705293","BAG_37","Viruses","1.82"
"SRR24705293","BAG_37","cellular organisms","98.18"
"SRR24705292","BAG_39","Viruses","1.41"
"SRR24705292","BAG_39","cellular organisms","98.59"
"SRR24705291","BAG_46","Viruses","1.17"
